elo,status,motivo,subtipoPlan,dataMax,itauId,pay99Id,idsDesparear,bancosSys,somaPlan
16215,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2026-01-23,274374,,,1,0
16218,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2026-01-23,274313,,,1,0
16258,SEM_CANDIDATO,ambiguo_99pay_2,INTERBANCARIO_99PAY_SAME_BANK,2026-03-04,274797,,,1,0
16266,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2026-03-09,274854,,,1,0
16275,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_DESTINO_3,2026-03-03,274780,,,3+1,1000
16282,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_DESTINO_3,2026-03-06,274849,,,3+1,270.77
16283,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_DESTINO_3,2026-03-05,274826,,,3+1,512.5
16285,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_DESTINO_3,2026-03-03,274781,,,3+1,999.99
16286,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2026-03-06,274801,,,1,0
16399,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_DESTINO_3,2026-05-05,210811,,,3+1,999.05
16400,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_DESTINO_3,2026-04-30,275462,,,3+1,322.43
16401,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_DESTINO_3,2026-04-24,275388,,,3+1,10934.3
16402,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_DESTINO_3,2026-04-20,275332,,,3+1,7054.34
16403,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_DESTINO_3,2026-04-10,275267,,,3+1,491.07
16404,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_DESTINO_3,2026-03-23,275042,,,3+1,242
16405,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_DESTINO_3,2026-03-19,275004,,,3+1,496.88
16406,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_DESTINO_3,2026-03-17,274976,,,3+1,5171.35
16407,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_DESTINO_3,2026-03-16,274947,,,3+1,3784.87
16408,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_DESTINO_3,2026-03-16,274948,,,3+1,3000
