elo,status,motivo,subtipoPlan,dataMax,itauId,pay99Id,idsDesparear,bancosSys,somaPlan
5073,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-04-23,,,,5+1,-300
5074,IGNORAR,nao_itau_only,,2018-04-23,,,,6+1,0
5075,IGNORAR,nao_itau_only,,2018-04-24,,,,6+1,0
5076,IGNORAR,nao_itau_only,,2018-04-24,,,,2+1,0
5077,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-04-25,,,,5+1,-555.28
5078,IGNORAR,nao_itau_only,,2018-04-27,,,,6,0
5079,IGNORAR,nao_itau_only,,2018-04-30,,,,,-606.75
5080,IGNORAR,nao_itau_only,,2018-05-04,,,,6+1,0
5081,IGNORAR,nao_itau_only,,2018-05-08,,,,6+1,0
5082,IGNORAR,nao_itau_only,,2018-05-08,,,,2+1,0
5083,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-05-10,,,,5+1,-1378.37
5084,IGNORAR,nao_itau_only,,2018-05-10,,,,6+1,0
5085,IGNORAR,nao_itau_only,,2018-05-15,,,,6+1,0
5086,IGNORAR,nao_itau_only,,2018-05-22,,,,6+1,0
5087,IGNORAR,nao_itau_only,,2018-05-24,,,,6+1,0
5088,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-06-04,,,,5+1,-3800
5089,IGNORAR,nao_itau_only,,2018-06-11,,,,6+1,0
5090,IGNORAR,nao_itau_only,,2018-06-11,,,,6,0
5091,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2018-06-11,,,,1,0
5093,IGNORAR,nao_itau_only,,2018-06-11,,,,4,0
5094,IGNORAR,nao_itau_only,,2018-06-12,,,,4+1,0
5095,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-06-15,,,,5+1,19000
5096,IGNORAR,nao_itau_only,,2018-06-15,,,,6,0
5097,IGNORAR,nao_itau_only,,2018-06-18,,,,6+1,0
5098,IGNORAR,nao_itau_only,,2018-06-19,,,,6,0
5099,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-06-19,,,,5+1,-3200
5101,IGNORAR,nao_itau_only,,2018-06-19,,,,6+1,0
5102,IGNORAR,nao_itau_only,,2018-06-21,,,,6+1,0
5103,IGNORAR,nao_itau_only,,2018-06-25,,,,6+1,0
5104,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-06-26,,,,5+1,-950
5105,IGNORAR,nao_itau_only,,2018-06-26,,,,4+1,0
5106,IGNORAR,nao_itau_only,,2018-06-29,,,,6+1,0
5107,IGNORAR,nao_itau_only,,2018-07-10,,,,6+1,0
5108,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-07-11,,,,5+1,-92
5109,IGNORAR,nao_itau_only,,2018-07-11,,,,6+1,0
5110,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-07-18,,,,5+1,-305
5111,IGNORAR,nao_itau_only,,2018-07-18,,,,6+1,0
5112,IGNORAR,nao_itau_only,,2018-07-18,,,,6+1,0
5113,IGNORAR,nao_itau_only,,2018-07-19,,,,6+1,0
5114,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-07-20,,,,5+1,-1080
5115,IGNORAR,nao_itau_only,,2018-07-23,,,,6+1,0
5116,IGNORAR,nao_itau_only,,2018-07-25,,,,6+1,0
5117,IGNORAR,nao_itau_only,,2018-07-27,,,,6+1,0
5118,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2018-07-30,,,,1,0
5119,IGNORAR,nao_itau_only,,2018-07-27,,,,6+1,0
5120,IGNORAR,nao_itau_only,,2018-08-09,,,,6+1,0
5121,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-08-14,,,,5+1,-1858.7
5122,IGNORAR,nao_itau_only,,2018-08-14,,,,6+1,0
5123,IGNORAR,nao_itau_only,,2018-08-14,,,,6+1,0
5124,IGNORAR,nao_itau_only,,2018-05-10,,,,4+1,0
5125,IGNORAR,nao_itau_only,,2018-08-16,,,,6+1,0
5126,IGNORAR,nao_itau_only,,2018-08-17,,,,6+1,0
5127,IGNORAR,nao_itau_only,,2018-08-21,,,,6+1,0
5128,IGNORAR,nao_itau_only,,2018-08-22,,,,6+1,0
5129,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2018-08-23,,,,1,0
5130,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2018-08-24,,,,1,0
5131,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-08-27,,,,5+1,-840
5132,IGNORAR,nao_itau_only,,2018-08-29,,,,6+1,0
5133,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-08-30,,,,5+1,-1500
5134,IGNORAR,nao_itau_only,,2018-08-30,,,,6+1,0
5135,IGNORAR,nao_itau_only,,2018-08-30,,,,4+6,0
5136,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2018-09-04,,,,1,0
5137,IGNORAR,nao_itau_only,,2018-09-06,,,,4,0
5138,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-09-10,,,,5+1,-228.37
5139,IGNORAR,nao_itau_only,,2018-09-10,,,,6+1,0
5140,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2018-09-11,,,,1,0
5141,IGNORAR,nao_itau_only,,2018-09-12,,,,4+1,0
5142,IGNORAR,nao_itau_only,,2018-09-12,,,,6+1,0
5143,IGNORAR,nao_itau_only,,2018-09-12,,,,4+1,0
5144,IGNORAR,nao_itau_only,,2018-09-17,,,,6+1,0
5145,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_3,2018-09-19,,,,3+1,27280
5146,IGNORAR,nao_itau_only,,2018-09-19,,,,6,0
5147,IGNORAR,nao_itau_only,,2018-10-10,,,,6,0
5148,IGNORAR,nao_itau_only,,2018-10-10,,,,6+1,0
5149,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-10-11,,,,5+1,45800
5150,IGNORAR,nao_itau_only,,2018-10-11,,,,6+1,0
5151,IGNORAR,nao_itau_only,,2018-10-15,,,,6+1,0
5152,IGNORAR,nao_itau_only,,2018-10-15,,,,6+1,0
5153,IGNORAR,nao_itau_only,,2018-10-15,,,,6,0
5154,IGNORAR,nao_itau_only,,2018-10-18,,,,6,0
5155,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-10-25,,,,5+1,5650
5156,IGNORAR,nao_itau_only,,2018-10-25,,,,6,0
5157,IGNORAR,nao_itau_only,,2018-10-29,,,,6+1,0
5158,IGNORAR,nao_itau_only,,2018-10-29,,,,6+1,0
5159,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2018-10-30,,,,1,0
5160,IGNORAR,nao_itau_only,,2018-10-30,,,,6+1,0
5161,IGNORAR,nao_itau_only,,2018-10-30,,,,6,0
5162,IGNORAR,nao_itau_only,,2018-10-30,,,,4+6,0
5163,IGNORAR,nao_itau_only,,2018-10-31,,,,6+1,0
5164,IGNORAR,nao_itau_only,,2018-11-01,,,,6+1,0
5165,IGNORAR,nao_itau_only,,2018-11-07,,,,6+1,0
5166,IGNORAR,nao_itau_only,,2018-11-07,,,,6,0
5167,IGNORAR,nao_itau_only,,2018-11-13,,,,6+1,0
5168,IGNORAR,nao_itau_only,,2018-11-13,,,,6+5,7317.62
5169,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2018-11-14,,,,1,0
5170,IGNORAR,nao_itau_only,,2018-11-14,,,,6,0
5171,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-11-16,,,,5+1,-412.33
5172,IGNORAR,nao_itau_only,,2018-11-16,,,,6+1,0
5173,IGNORAR,nao_itau_only,,2020-05-10,,,,,0
5174,IGNORAR,nao_itau_only,,2018-11-20,,,,6+1,0
5175,IGNORAR,nao_itau_only,,2018-11-21,,,,6+1,0
5176,IGNORAR,nao_itau_only,,2018-11-21,,,,6+1,0
5177,IGNORAR,nao_itau_only,,2018-11-21,,,,6+5,13915.11
5178,IGNORAR,nao_itau_only,,2018-11-21,,,,4+6,0
5179,IGNORAR,nao_itau_only,,2018-11-16,,,,,0
5180,IGNORAR,nao_itau_only,,2018-11-22,,,,6+1,0
5181,IGNORAR,nao_itau_only,,2018-11-29,,,,6+1,0
5182,IGNORAR,nao_itau_only,,2018-11-29,,,,6+5,1591.07
5183,IGNORAR,nao_itau_only,,2018-11-29,,,,4+6,0
5184,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2018-12-03,,,,1,0
5185,IGNORAR,nao_itau_only,,2018-12-03,,,,6,0
5186,IGNORAR,nao_itau_only,,2018-12-04,,,,6+1,0
5187,IGNORAR,nao_itau_only,,2018-12-04,,,,4+6,0
5188,IGNORAR,nao_itau_only,,2018-12-05,,,,6+1,0
5189,IGNORAR,nao_itau_only,,2018-12-10,,,,6+1,0
5190,IGNORAR,nao_itau_only,,2018-12-11,,,,6+1,0
5192,IGNORAR,nao_itau_only,,2018-12-14,,,,6+1,0
5193,IGNORAR,nao_itau_only,,2018-12-14,,,,6+5,3685.28
5194,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-12-17,,,,5+1,-723
5196,IGNORAR,nao_itau_only,,2018-12-24,,,,6+1,0
5197,IGNORAR,nao_itau_only,,2018-12-26,,,,6+1,0
5198,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2018-12-27,,,,1,0
5199,IGNORAR,nao_itau_only,,2018-12-28,,,,6+1,0
5200,IGNORAR,nao_itau_only,,2018-12-28,,,,6+1,0
5201,IGNORAR,nao_itau_only,,2018-08-15,,,,6+1,0
5202,IGNORAR,nao_itau_only,,2018-08-15,,,,6+1,0
5203,IGNORAR,nao_itau_only,,2018-08-16,,,,4+1,0
5204,IGNORAR,nao_itau_only,,2018-11-07,,,,6+5,3250
5205,IGNORAR,nao_itau_only,,2018-05-18,,,,4,0
5206,IGNORAR,nao_itau_only,,2018-05-18,,,,4,0
5207,IGNORAR,nao_itau_only,,2019-05-03,,,,6+1,0
5208,IGNORAR,nao_itau_only,,2019-05-03,,,,6+1,0
5209,IGNORAR,nao_itau_only,,2019-04-09,,,,6+1,0
5210,IGNORAR,nao_itau_only,,2019-04-09,,,,6+1,0
5212,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_3,2019-04-17,,,,3+1,9999.99
5213,IGNORAR,nao_itau_only,,2019-04-17,,,,,0
5214,IGNORAR,nao_itau_only,,2019-04-17,,,,4+6,0
5216,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2019-04-25,,,,5+1,-877.26
5217,IGNORAR,nao_itau_only,,2019-04-26,,,,6+1,0
5218,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2019-04-29,,,,1,0
5219,IGNORAR,nao_itau_only,,2019-04-29,,,,6+1,0
5220,IGNORAR,nao_itau_only,,2019-05-02,,,,4,0
5221,IGNORAR,nao_itau_only,,2019-05-03,,,,4+1,0
5222,IGNORAR,nao_itau_only,,2019-05-03,,,,3+6,3077
5223,IGNORAR,nao_itau_only,,2019-05-02,,,,3+6,20000
5224,IGNORAR,nao_itau_only,,2019-04-17,,,,6+1,0
5225,IGNORAR,nao_itau_only,,2019-04-17,,,,2+1,0
5226,IGNORAR,nao_itau_only,,2019-04-01,,,,4,0
5227,IGNORAR,nao_itau_only,,2019-04-17,,,,2+3,21000
5228,IGNORAR,nao_itau_only,,2019-04-23,,,,6+5,3000
5229,IGNORAR,nao_itau_only,,2019-04-23,,,,4+6,0
5230,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2019-04-22,,,,5+1,390.49
5231,IGNORAR,nao_itau_only,,2019-04-29,,,,3+6,3000
5232,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_SEM_99PAY,2019-04-30,,,,3+1,-1008.38
5233,IGNORAR,nao_itau_only,,2019-05-09,,,,4+6,0
5234,IGNORAR,nao_itau_only,,2019-05-10,,,,,0
5235,IGNORAR,nao_itau_only,,2019-05-09,,,,,0
5237,IGNORAR,nao_itau_only,,2019-05-17,,,,4,0
5238,IGNORAR,nao_itau_only,,2019-05-10,,,,6+1,0
5239,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2019-05-20,,,,1,0
5240,IGNORAR,nao_itau_only,,2019-05-16,,,,4+6,0
5241,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_3,2019-05-21,,,,3+1,5000
5242,IGNORAR,nao_itau_only,,2019-03-29,,,,,0
5243,IGNORAR,nao_itau_only,,2019-03-28,,,,4+1,0
5244,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_3,2019-03-25,,,,3+1,77200
5245,IGNORAR,nao_itau_only,,2019-03-22,,,,,0
5246,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2019-03-20,,,,1,0
5248,IGNORAR,nao_itau_only,,2019-03-08,,,,4,0
5249,IGNORAR,nao_itau_only,,2019-03-07,,,,,0
5250,IGNORAR,nao_itau_only,,2019-03-07,,,,,0
5252,IGNORAR,nao_itau_only,,2019-02-22,,,,6+1,0
5255,IGNORAR,nao_itau_only,,2019-02-22,,,,4,0
5256,IGNORAR,nao_itau_only,,2019-02-20,,,,3+4,-550
5257,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2019-02-18,,,,5+1,-1150
5258,IGNORAR,nao_itau_only,,2019-02-18,,,,4+6,0
